Age,Year,Coverage,Vaccine,Serogroup,Cohort,Uptake rate
2,2016,18.28,MenACWY,C,2014,0.20187141603867015
2,2017,28.56,MenACWY,C,2015,0.3363122494198477
2,2018,45.82,MenACWY,C,2016,0.6128583493311422
2,2019,46.58,MenACWY,C,2017,0.6269849783062765
2,2020,51.27,MenACWY,C,2018,0.7188753291326766
2,2021,54.16,MenACWY,C,2019,0.7800131135816072
2,2022,55.43,MenACWY,C,2020,0.808109199029627
2,2023,57.33,MenACWY,C,2021,0.8516740887881828
12,2012,19.69,MenACWY,C,2000,0.21927603978772062
12,2013,33.23,MenACWY,C,2001,0.40391630811831397
12,2014,52.77,MenACWY,C,2002,0.7501409020800658
12,2015,74.92,MenACWY,C,2003,1.3830994702233714
12,2016,52.88,MenACWY,C,2004,0.7524726466447602
12,2017,58.5,MenACWY,C,2005,0.8794767587514387
12,2018,63.77,MenACWY,C,2006,1.0152826810811055
12,2019,56.98,MenACWY,C,2007,0.8435050621485073
1,2015,14.72,MenB,B,2014,0.15923022557055697
1,2016,38.57,MenB,B,2015,0.4872718708122552
1,2017,46.06,MenB,B,2016,0.6172978682765075
1,2018,68.98,MenB,B,2017,1.1705380282396989
1,2019,66.3,MenB,B,2018,1.087672348629775
1,2020,79.68,MenB,B,2019,1.5935645632778106
1,2021,80.91,MenB,B,2020,1.6560055482504348
1,2022,79.6,MenB,B,2021,1.5896352851379203
12,2012,19.69,MenB,B,2000,0.21927603978772062
12,2013,33.23,MenB,B,2001,0.40391630811831397
12,2014,52.77,MenB,B,2002,0.7501409020800658
12,2015,74.92,MenB,B,2003,1.3830994702233714
12,2016,52.88,MenB,B,2004,0.7524726466447602
12,2017,58.5,MenB,B,2005,0.8794767587514387
12,2018,63.77,MenB,B,2006,1.0152826810811055
12,2019,56.98,MenB,B,2007,0.8435050621485073
2,2007,54.08582592518325,MenC,C,2005,0.778396313218626
2,2008,61.425075013467534,MenC,C,2006,0.9525677323543035
2,2009,61.77344517272174,MenC,C,2007,0.961639759335626
2,2010,64.67338982451591,MenC,C,2008,1.0405336767016362
2,2011,75.90977973023413,MenC,C,2009,1.4233642257847718
2,2012,81.06387846197184,MenC,C,2010,1.6640988954389495
2,2013,77.05,MenC,C,2011,1.4718522494815371
2,2014,73.94,MenC,C,2012,1.3447686142913922
2,2015,76.62,MenC,C,2013,1.4532892299441689
2,2016,80.67,MenC,C,2014,1.6435118927678516
2,2017,82.64,MenC,C,2015,1.7510014767558875
2,2018,84.93,MenC,C,2016,1.8924641733496876
2,2019,79.44,MenC,C,2017,1.5818227454011269
2,2020,70.96,MenC,C,2018,1.2364959960314956
2,2021,73.37,MenC,C,2019,1.3231317861622505
2,2022,85.6,MenC,C,2020,1.9379419794061363
2,2023,83.76,MenC,C,2021,1.8176928512545596
12,2012,50.14,MenC,C,2000,0.6959511078926794
12,2013,51.01,MenC,C,2001,0.7135539903376079
12,2014,53.57,MenC,C,2002,0.7672243839562609
12,2015,52.42,MenC,C,2003,0.7427576811132798
12,2016,58.57,MenC,C,2004,0.8811649298987809
12,2017,10.594057658296592,MenC,C,2005,0.11198303687102823
12,2018,42.60520271204762,MenC,C,2006,0.555216526353297
12,2019,40.72183563916163,MenC,C,2007,0.5229291710526052
